game,moves
189,b2b4 c7c6 a2a4 f7f6 c1a3 g7g5 d2d3 g8h6 b4b5 c6b5 a4b5 e7e6
190,b2b3 d7d6 a2a4 h7h5 d2d3 g8h6 e2e4 c7c6 g1f3 g7g6 c2c4 f8g7
191,g1f3 a7a5 b1c3 b8c6 e2e3 h7h6 b2b3 a8a7 e1e2 c6b8 f3e5 d7d6
192,d2d3 g7g5 a2a3 b7b5 a1a2 f7f6 h2h3 e7e6 c2c3 f8h6 g2g3 e8e7
193,b2b3 c7c5 a2a3 a7a5 g2g3 c5c4 b3c4 f7f6 f2f4 g7g6 d2d4 b8c6
194,g1f3 a7a5 b1c3 h7h6 g2g4 d7d6 a1b1 c8d7 a2a3 b7b5 f1g2 a8a7
195,b2b3 b7b6 a2a3 a7a6 c2c3 a8a7 a1a2 h7h6 g2g4 c7c6 f2f3 g7g5
196,b2b3 d7d6 b1a3 g7g6 c2c4 a7a6 a1b1 f8g7 g2g3 f7f6 b1b2 b8c6
197,g2g3 g8f6 d2d3 d7d5 a2a3 a7a5 f2f3 b8d7 c2c4 d7c5 d3d4 b7b5
198,b2b3 a7a6 g2g3 h7h6 g3g4 d7d6 a2a3 d6d5 a1a2 c7c6 f1g2 e7e5
199,e2e3 g7g6 h2h4 f7f6 b2b4 c7c6 a2a4 e8f7 g1f3 h7h5 d2d4 f6f5
200,g1h3 b7b6 a2a4 a7a6 b1c3 c8b7 h3g1 h7h5 g2g3 f7f6 c3d5 a6a5
201,b2b3 h7h6 a2a3 c7c6 a1a2 a7a5 c2c4 e7e5 g2g3 g8f6 f2f3 a5a4
202,b2b3 a7a5 c2c3 a8a7 a2a3 h7h6 f2f3 f7f5 f3f4 e8f7 h2h3 c7c6
203,b2b3 g8f6 a2a3 d7d6 a1a2 c7c5 c1b2 f6e4 g2g4 g7g6 c2c4 a7a5
204,g1h3 b7b6 d2d4 a7a6 e2e3 a8a7 d4d5 c7c6 b1c3 c6d5 h3g1 d5d4
205,b2b3 a7a5 f2f3 d7d6 c2c3 e7e5 g2g3 c7c6 c1b2 h7h6 e2e3 c8e6
206,b2b4 c7c6 g2g4 b7b5 a2a4 f7f5 a1a3 a7a6 d2d3 h7h6 c2c4 e7e5
207,a2a3 b8c6 f2f4 e7e6 h2h3 d8e7 e2e3 e7f6 b1c3 f6e5 f1c4 e5f4
208,b2b3 a7a5 f2f3 c7c6 e2e3 d7d6 b1a3 a8a6 c2c3 h7h6 a1b1 a6b6
209,g1f3 a7a5 b1c3 h7h6 e2e3 d7d6 b2b3 c7c5 e1e2 e7e6 f3e5 d6e5
210,b2b4 a7a5 f2f3 a5b4 e2e4 b7b6 g2g3 h7h5 f1b5 h8h7 e1f2 f7f5
211,b2b3 c7c6 e2e3 f7f6 c2c3 h7h6 c1b2 a7a6 d2d4 h6h5 f1a6 g8h6
212,a2a4 f7f6 h2h3 g7g6 b1a3 e7e6 g2g4 d7d5 a4a5 b7b5 a3b5 f8b4
213,b2b3 a7a5 e2e3 f7f6 e1e2 e7e5 c2c3 a5a4 h2h3 b8a6 f2f4 a6c5
214,b2b4 d7d6 e2e3 e7e6 d1f3 e8d7 a2a4 h7h5 e1e2 d8e7 c2c4 g8f6
215,g1f3 e7e6 f3d4 g7g5 g2g4 d7d6 f2f3 h7h5 e1f2 b7b5 e2e4 h5g4
216,b1a3 g7g6 a3c4 b7b5 c4b6 c7b6 h2h3 e7e6 b2b4 f8c5 e2e3 e8e7
217,b2b4 e7e5 b4b5 c7c6 b5c6 f8d6 g2g3 g8e7 b1c3 f7f6 a2a4 b7b6
218,b2b4 c7c6 g2g3 f7f6 h2h3 b7b5 g3g4 h7h5 a2a4 e7e6 a1a3 g8e7
219,g1f3 a7a5 b1c3 b8c6 a1b1 h7h6 b2b3 b7b5 d2d3 c6b8 f3g1 c7c6
220,e2e4 g7g5 g1e2 d7d5 b2b4 c8d7 f2f3 e7e5 c2c4 g8e7 b4b5 h7h6
221,b2b3 h7h6 a2a3 g7g5 e2e3 g5g4 c1b2 f7f6 e1e2 h6h5 b3b4 e7e5
222,b2b4 h7h6 g2g4 d7d6 f2f4 e7e6 e2e4 a7a5 f1d3 b7b6 c1a3 c7c5
223,b2b3 a7a5 f2f3 d7d6 c2c3 h7h6 e2e3 c7c6 c1b2 b7b5 e1e2 a8a7
224,h2h4 b8a6 g2g3 e7e5 g1f3 a6b4 g3g4 e5e4 b2b3 b7b5 f3h2 b4c2
225,g1f3 h7h6 g2g4 a7a5 b1c3 b8c6 b2b3 b7b6 h2h4 f7f6 f3e5 c8b7
